month,feature,description,lifecycle_stage,mentions,weighted_mention_score,competitors,churn_linked,lost_revenue_usd
2026-01,SAML / SSO,"Single sign-on via Okta or Entra ID, required by enterprise security reviews",loyal customer,7,71.8,Northwind,1,33200
2026-01,Custom dashboards,User-defined dashboards with saved layouts and shareable links,loyal customer,7,66.5,Deckard,0,0
2026-01,Salesforce two-way sync,"Bidirectional sync of accounts and opportunities, not a nightly one-way push",new customer,3,65.7,Orbital,0,0
2026-01,Salesforce two-way sync,"Bidirectional sync of accounts and opportunities, not a nightly one-way push",loyal customer,6,63.2,Quantly,1,38200
2026-01,SAML / SSO,"Single sign-on via Okta or Entra ID, required by enterprise security reviews",new customer,6,59.6,,0,0
2026-01,Salesforce two-way sync,"Bidirectional sync of accounts and opportunities, not a nightly one-way push",lead,4,55.0,Orbital,0,0
2026-01,Custom dashboards,User-defined dashboards with saved layouts and shareable links,new customer,6,55.0,Deckard,0,0
2026-01,EU data residency,Storing and processing customer data inside the EU for GDPR sign-off,loyal customer,4,52.4,Northwind;Orbital,0,0
2026-01,Custom dashboards,User-defined dashboards with saved layouts and shareable links,lead,7,51.4,Deckard,0,0
2026-01,Granular role permissions,Per-object roles so contractors and clients see only their own records,loyal customer,6,48.7,Deckard,0,0
2026-01,Bulk CSV import,Importing and de-duplicating tens of thousands of records in one pass,new customer,5,47.8,Deckard,0,0
2026-01,SAML / SSO,"Single sign-on via Okta or Entra ID, required by enterprise security reviews",lead,4,43.8,,1,30500
2026-01,Granular role permissions,Per-object roles so contractors and clients see only their own records,new customer,2,43.2,Northwind;Deckard,1,10500
2026-01,EU data residency,Storing and processing customer data inside the EU for GDPR sign-off,new customer,2,40.5,Northwind;Orbital,0,0
2026-01,Bulk CSV import,Importing and de-duplicating tens of thousands of records in one pass,lead,5,40.5,Deckard,0,0
2026-01,Mobile app,Native iOS and Android client for field teams working offline,loyal customer,4,36.2,Orbital,0,0
2026-01,EU data residency,Storing and processing customer data inside the EU for GDPR sign-off,lead,2,34.4,Northwind,0,0
2026-01,Granular role permissions,Per-object roles so contractors and clients see only their own records,lead,6,34.3,Northwind;Deckard,0,0
2026-01,Audit log export,"Exportable, immutable activity log for SOC 2 and internal compliance",lead,2,33.7,Quantly,0,0
2026-01,Audit log export,"Exportable, immutable activity log for SOC 2 and internal compliance",new customer,4,33.4,Quantly,0,0
2026-01,Mobile app,Native iOS and Android client for field teams working offline,lead,7,25.7,Orbital,0,0
2026-01,Higher API rate limits,Raising the 60 req/min ceiling that throttles customer-side integrations,new customer,2,24.0,Quantly,0,0
2026-01,Higher API rate limits,Raising the 60 req/min ceiling that throttles customer-side integrations,lead,6,21.5,,0,0
2026-02,SAML / SSO,"Single sign-on via Okta or Entra ID, required by enterprise security reviews",loyal customer,8,69.3,Northwind;Quantly,1,13200
2026-02,Salesforce two-way sync,"Bidirectional sync of accounts and opportunities, not a nightly one-way push",loyal customer,8,67.9,Orbital,1,15100
2026-02,Salesforce two-way sync,"Bidirectional sync of accounts and opportunities, not a nightly one-way push",new customer,7,67.6,Orbital;Quantly,0,0
2026-02,Custom dashboards,User-defined dashboards with saved layouts and shareable links,loyal customer,9,66.0,Deckard,0,0
